""
"Test Method","Ankenman Simplified Tensile.msm"
"Sample I. D.","Ankenman brushes.mss"
"Specimen Number","6"

"Time (s)","Load (lbf)","Crosshead (in)"

0.400,0,0.000
0.600,0,0.001
0.800,0,0.001
1.000,0,0.002
1.200,0,0.002
1.400,0,0.002
1.600,0,0.003
1.800,0,0.003
2.000,0,0.004
2.200,0,0.004
2.400,0,0.004
2.600,0,0.005
2.800,0,0.005
3.000,0,0.006
3.200,0,0.006
3.400,0,0.006
3.600,0,0.007
3.800,0,0.007
4.000,0,0.008
4.200,0,0.008
4.400,0,0.008
4.600,0,0.009
4.800,0,0.009
5.000,0,0.009
5.200,0,0.010
5.400,0,0.010
5.600,0,0.011
5.800,0,0.011
6.000,0,0.011
6.200,0,0.012
6.400,0,0.012
6.600,0,0.013
6.800,0,0.013
7.000,0,0.013
7.200,0,0.014
7.400,0,0.014
7.600,0,0.015
7.800,0,0.015
8.000,0,0.015
8.200,0,0.016
8.400,0,0.016
8.600,1,0.017
8.800,1,0.017
9.000,1,0.017
9.200,2,0.018
9.400,2,0.018
9.600,2,0.019
9.800,3,0.019
10.000,3,0.019
10.200,3,0.020
10.400,4,0.020
10.600,4,0.020
10.800,5,0.021
11.000,5,0.021
11.200,5,0.022
11.400,6,0.022
11.600,6,0.022
11.800,7,0.023
12.000,7,0.023
12.200,8,0.024
12.400,8,0.024
12.600,8,0.024
12.800,9,0.025
13.000,9,0.025
13.200,10,0.026
13.400,10,0.026
13.600,11,0.026
13.800,12,0.027
14.000,12,0.027
14.200,13,0.028
14.400,14,0.028
14.600,15,0.028
14.800,16,0.029
15.000,18,0.029
15.200,19,0.030
15.400,20,0.030
15.600,21,0.030
15.800,22,0.031
16.000,23,0.031
16.200,24,0.032
16.400,25,0.032
16.600,27,0.032
16.800,28,0.033
17.000,28,0.033
17.200,29,0.033
17.400,30,0.034
17.600,31,0.034
17.800,32,0.035
18.000,32,0.035
18.200,33,0.035
18.400,34,0.036
18.600,34,0.036
18.800,35,0.037
19.000,35,0.037
19.200,36,0.037
19.400,36,0.038
19.600,37,0.038
19.800,37,0.039
20.000,38,0.039
20.200,38,0.039
20.400,38,0.040
20.600,39,0.040
20.800,39,0.041
21.000,39,0.041
21.200,39,0.041
21.400,40,0.042
21.600,40,0.042
21.800,40,0.043
22.000,41,0.043
22.200,41,0.043
22.400,41,0.044
22.600,41,0.044
22.800,42,0.045
23.000,42,0.045
23.200,42,0.045
23.400,42,0.046
23.600,43,0.046
23.800,43,0.046
24.000,43,0.047
24.200,43,0.047
24.400,43,0.048
24.600,43,0.048
24.800,43,0.048
25.000,44,0.049
25.200,44,0.049
25.400,44,0.050
25.600,44,0.050
25.800,44,0.050
26.000,44,0.051
26.200,44,0.051
26.400,45,0.052
26.600,45,0.052
26.800,45,0.052
27.000,45,0.053
27.200,45,0.053
27.400,45,0.054
27.600,45,0.054
27.800,45,0.054
28.000,46,0.055
28.200,46,0.055
28.400,46,0.056
28.600,46,0.056
28.800,46,0.056
29.000,46,0.057
29.200,46,0.057
29.400,46,0.058
29.600,46,0.058
29.800,47,0.058
30.000,47,0.059
30.200,47,0.059
30.400,47,0.059
30.600,47,0.060
30.800,47,0.060
31.000,47,0.061
31.200,47,0.061
31.400,47,0.061
31.600,48,0.062
31.800,48,0.062
32.000,48,0.063
32.200,48,0.063
32.400,48,0.063
32.600,48,0.064
32.800,48,0.064
33.000,48,0.065
33.200,48,0.065
33.400,48,0.065
33.600,49,0.066
33.800,49,0.066
34.000,49,0.067
34.200,49,0.067
34.400,49,0.067
34.600,49,0.068
34.800,49,0.068
35.000,49,0.069
35.200,49,0.069
35.400,49,0.069
35.600,50,0.070
35.800,50,0.070
36.000,50,0.070
36.200,50,0.071
36.400,50,0.071
36.600,50,0.072
36.800,50,0.072
37.000,50,0.072
37.200,50,0.073
37.400,51,0.073
37.600,51,0.074
37.800,51,0.074
38.000,51,0.074
38.200,51,0.075
38.400,51,0.075
38.600,51,0.076
38.800,51,0.076
39.000,51,0.076
39.200,51,0.077
39.400,51,0.077
39.600,52,0.078
39.800,52,0.078
40.000,52,0.078
40.200,52,0.079
40.400,52,0.079
40.600,52,0.080
40.800,52,0.080
41.000,52,0.080
41.200,52,0.081
41.400,53,0.081
41.600,53,0.081
41.800,53,0.082
42.000,53,0.082
42.200,53,0.083
42.400,53,0.083
42.600,53,0.083
42.800,53,0.084
43.000,53,0.084
43.200,53,0.085
43.400,54,0.085
43.600,54,0.085
43.800,54,0.086
44.000,54,0.086
44.200,54,0.087
44.400,54,0.087
44.600,54,0.087
44.800,54,0.088
45.000,54,0.088
45.200,54,0.089
45.400,54,0.089
45.600,54,0.089
45.800,55,0.090
46.000,55,0.090
46.200,55,0.090
46.400,55,0.091
46.600,55,0.091
46.800,55,0.092
47.000,55,0.092
47.200,55,0.092
47.400,55,0.093
47.600,56,0.093
47.800,56,0.094
48.000,56,0.094
48.200,56,0.094
48.400,56,0.095
48.600,56,0.095
48.800,56,0.096
49.000,56,0.096
49.200,56,0.096
49.400,56,0.097
49.600,57,0.097
49.800,57,0.098
50.000,57,0.098
50.200,57,0.098
50.400,57,0.099
50.600,57,0.099
50.800,57,0.100
51.000,57,0.100
51.200,57,0.100
51.400,57,0.101
51.600,58,0.101
51.800,58,0.102
52.000,58,0.102
52.200,58,0.102
52.400,58,0.103
52.600,58,0.103
52.800,58,0.103
53.000,58,0.104
53.200,58,0.104
53.400,58,0.105
53.600,59,0.105
53.800,58,0.105
54.000,59,0.106
54.200,59,0.106
54.400,59,0.107
54.600,59,0.107
54.800,59,0.107
55.000,59,0.108
55.200,59,0.108
55.400,59,0.109
55.600,59,0.109
55.800,59,0.109
56.000,60,0.110
56.200,60,0.110
56.400,60,0.111
56.600,60,0.111
56.800,60,0.111
57.000,60,0.112
57.200,60,0.112
57.400,60,0.113
57.600,60,0.113
57.800,60,0.113
58.000,61,0.114
58.200,61,0.114
58.400,61,0.114
58.600,61,0.115
58.800,61,0.115
59.000,61,0.116
59.200,61,0.116
59.400,61,0.116
59.600,61,0.117
59.800,61,0.117
60.000,61,0.118
60.200,62,0.118
60.400,62,0.118
60.600,62,0.119
60.800,62,0.119
61.000,62,0.120
61.200,62,0.120
61.400,62,0.120
61.600,62,0.121
61.800,62,0.121
62.000,62,0.122
62.200,62,0.122
62.400,62,0.122
62.600,63,0.123
62.800,63,0.123
63.000,63,0.124
63.200,63,0.124
63.400,63,0.124
63.600,63,0.125
63.800,63,0.125
64.000,63,0.126
64.200,63,0.126
64.400,63,0.126
64.600,63,0.127
64.800,64,0.127
65.000,63,0.128
65.200,64,0.128
65.400,64,0.128
65.600,64,0.129
65.800,64,0.129
66.000,64,0.129
66.200,64,0.130
66.400,64,0.130
66.600,64,0.131
66.800,64,0.131
67.000,65,0.131
67.200,65,0.132
67.400,65,0.132
67.600,65,0.133
67.800,65,0.133
68.000,65,0.133
68.200,65,0.134
68.400,65,0.134
68.600,65,0.135
68.800,65,0.135
69.000,65,0.135
69.200,65,0.136
69.400,66,0.136
69.600,66,0.137
69.800,66,0.137
70.000,66,0.137
70.200,66,0.138
70.400,66,0.138
70.600,66,0.139
70.800,66,0.139
71.000,66,0.139
71.200,66,0.140
71.400,66,0.140
71.600,67,0.140
71.800,67,0.141
72.000,67,0.141
72.200,67,0.142
72.400,67,0.142
72.600,67,0.142
72.800,67,0.143
73.000,67,0.143
73.200,67,0.144
73.400,68,0.144
73.600,68,0.144
73.800,68,0.145
74.000,68,0.145
74.200,68,0.146
74.400,68,0.146
74.600,68,0.146
74.800,68,0.147
75.000,68,0.147
75.200,68,0.148
75.400,68,0.148
75.600,68,0.148
75.800,69,0.149
76.000,69,0.149
76.200,69,0.150
76.400,69,0.150
76.600,69,0.150
76.800,69,0.151
77.000,69,0.151
77.200,69,0.151
77.400,69,0.152
77.600,69,0.152
77.800,69,0.153
78.000,70,0.153
78.200,69,0.153
78.400,70,0.154
78.600,70,0.154
78.800,70,0.155
79.000,70,0.155
79.200,70,0.155
79.400,70,0.156
79.600,70,0.156
79.800,70,0.157
80.000,71,0.157
80.200,71,0.157
80.400,71,0.158
80.600,71,0.158
80.800,71,0.159
81.000,71,0.159
81.200,71,0.159
81.400,71,0.160
81.600,71,0.160
81.800,71,0.161
82.000,71,0.161
82.200,72,0.161
82.400,72,0.162
82.600,72,0.162
82.800,72,0.163
83.000,72,0.163
83.200,72,0.163
83.400,72,0.164
83.600,73,0.164
83.800,73,0.164
84.000,73,0.165
84.200,73,0.165
84.400,73,0.166
84.600,74,0.166
84.800,74,0.166
85.000,74,0.167
85.200,74,0.167
85.400,74,0.168
85.600,74,0.168
85.800,74,0.168
86.000,74,0.169
86.200,75,0.169
86.400,75,0.170
86.600,75,0.170
86.800,75,0.170
87.000,75,0.171
87.200,75,0.171
87.400,76,0.172
87.600,76,0.172
87.800,76,0.172
88.000,76,0.173
88.200,77,0.173
88.400,76,0.174
88.600,77,0.174
88.800,77,0.174
89.000,77,0.175
89.200,77,0.175
89.400,77,0.176
89.600,78,0.176
89.800,78,0.176
90.000,78,0.177
90.200,78,0.177
90.400,79,0.177
90.600,79,0.178
90.800,79,0.178
91.000,79,0.179
91.200,79,0.179
91.400,80,0.179
91.600,80,0.180
91.800,80,0.180
92.000,80,0.181
92.200,80,0.181
92.400,80,0.181
92.600,81,0.182
92.800,81,0.182
93.000,81,0.183
93.200,81,0.183
93.400,81,0.183
93.600,82,0.184
93.800,82,0.184
94.000,82,0.185
94.200,82,0.185
94.400,83,0.185
94.600,83,0.186
94.800,83,0.186
95.000,83,0.187
95.200,83,0.187
95.400,83,0.187
95.600,84,0.188
95.800,84,0.188
96.000,84,0.189
96.200,84,0.189
96.400,85,0.189
96.600,84,0.190
96.800,85,0.190
97.000,85,0.190
97.200,85,0.191
97.400,85,0.191
97.600,86,0.192
97.800,86,0.192
98.000,86,0.192
98.200,86,0.193
98.400,87,0.193
98.600,87,0.194
98.800,87,0.194
99.000,87,0.194
99.200,87,0.195
99.400,88,0.195
99.600,88,0.196
99.800,88,0.196
100.000,88,0.196
100.200,89,0.197
100.400,88,0.197
100.600,89,0.198
100.800,89,0.198
101.000,89,0.198
101.200,90,0.199
101.400,90,0.199
101.600,90,0.200
101.800,90,0.200
102.000,90,0.200
102.200,91,0.201
102.400,91,0.201
102.600,91,0.201
102.800,91,0.202
103.000,91,0.202
103.200,92,0.203
103.400,92,0.203
103.600,92,0.203
103.800,92,0.204
104.000,92,0.204
104.200,93,0.205
104.400,93,0.205
104.600,93,0.205
104.800,93,0.206
105.000,93,0.206
105.200,94,0.207
105.400,94,0.207
105.600,94,0.207
105.800,94,0.208
106.000,95,0.208
106.200,95,0.209
106.400,95,0.209
106.600,95,0.209
106.800,95,0.210
107.000,96,0.210
107.200,96,0.211
107.400,96,0.211
107.600,96,0.211
107.800,96,0.212
108.000,97,0.212
108.200,97,0.213
108.400,97,0.213
108.600,98,0.213
108.800,98,0.214
109.000,98,0.214
109.200,98,0.214
109.400,98,0.215
109.600,98,0.215
109.800,99,0.216
110.000,99,0.216
110.200,99,0.216
110.400,99,0.217
110.600,99,0.217
110.800,100,0.218
111.000,100,0.218
111.200,100,0.218
111.400,100,0.219
111.600,101,0.219
111.800,101,0.220
112.000,101,0.220
112.200,101,0.220
112.400,101,0.221
112.600,102,0.221
112.800,102,0.222
113.000,102,0.222
113.200,102,0.222
113.400,103,0.223
113.600,103,0.223
113.800,103,0.224
114.000,103,0.224
114.200,103,0.224
114.400,104,0.225
114.600,104,0.225
114.800,104,0.226
115.000,104,0.226
115.200,105,0.226
115.400,105,0.227
115.600,105,0.227
115.800,105,0.227
116.000,106,0.228
116.200,106,0.228
116.400,106,0.229
116.600,106,0.229
116.800,107,0.229
117.000,107,0.230
117.200,107,0.230
117.400,107,0.231
117.600,107,0.231
117.800,108,0.231
118.000,108,0.232
118.200,108,0.232
118.400,108,0.233
118.600,109,0.233
118.800,109,0.233
119.000,109,0.234
119.200,109,0.234
119.400,109,0.235
119.600,110,0.235
119.800,110,0.235
120.000,110,0.236
120.200,110,0.236
120.400,111,0.237
120.600,111,0.237
120.800,111,0.237
121.000,111,0.238
121.200,112,0.238
121.400,112,0.238
121.600,112,0.239
121.800,112,0.239
122.000,112,0.240
122.200,112,0.240
122.400,113,0.240
122.600,113,0.241
122.800,113,0.241
123.000,114,0.242
123.200,114,0.242
123.400,114,0.242
123.600,114,0.243
123.800,114,0.243
124.000,115,0.244
124.200,115,0.244
124.400,115,0.244
124.600,115,0.245
124.800,115,0.245
125.000,116,0.246
125.200,116,0.246
125.400,116,0.246
125.600,116,0.247
125.800,117,0.247
126.000,117,0.248
126.200,117,0.248
126.400,117,0.248
126.600,118,0.249
126.800,118,0.249
127.000,118,0.250
127.200,118,0.250
127.400,119,0.250
127.600,119,0.251
127.800,119,0.251
128.000,119,0.251
128.200,119,0.252
128.400,120,0.252
128.600,120,0.253
128.800,120,0.253
129.000,120,0.253
129.200,121,0.254
129.400,121,0.254
129.600,121,0.255
129.800,121,0.255
130.000,121,0.255
130.200,122,0.256
130.400,122,0.256
130.600,122,0.257
130.800,122,0.257
131.000,123,0.257
131.200,123,0.258
131.400,123,0.258
131.600,123,0.259
131.800,124,0.259
132.000,124,0.259
132.200,124,0.260
132.400,124,0.260
132.600,124,0.261
132.800,125,0.261
133.000,125,0.261
133.200,125,0.262
133.400,125,0.262
133.600,126,0.262
133.800,126,0.263
134.000,126,0.263
134.200,126,0.264
134.400,126,0.264
134.600,127,0.264
134.800,127,0.265
135.000,127,0.265
135.200,127,0.266
135.400,128,0.266
135.600,128,0.266
135.800,128,0.267
136.000,128,0.267
136.200,129,0.268
136.400,129,0.268
136.600,129,0.268
136.800,129,0.269
137.000,130,0.269
137.200,130,0.270
137.400,130,0.270
137.600,130,0.270
137.800,131,0.271
138.000,131,0.271
138.200,131,0.271
138.400,131,0.272
138.600,132,0.272
138.800,132,0.273
139.000,132,0.273
139.200,132,0.273
139.400,132,0.274
139.600,133,0.274
139.800,133,0.275
140.000,133,0.275
140.200,134,0.275
140.400,134,0.276
140.600,134,0.276
140.800,134,0.277
141.000,135,0.277
141.200,135,0.277
141.400,135,0.278
141.600,135,0.278
141.800,135,0.279
142.000,136,0.279
142.200,136,0.279
142.400,136,0.280
142.600,136,0.280
142.800,137,0.281
143.000,137,0.281
143.200,137,0.281
143.400,137,0.282
143.600,138,0.282
143.800,138,0.283
144.000,138,0.283
144.200,138,0.283
144.400,139,0.284
144.600,139,0.284
144.800,139,0.285
145.000,139,0.285
145.200,140,0.285
145.400,140,0.286
145.600,140,0.286
145.800,140,0.286
146.000,141,0.287
146.200,141,0.287
146.400,141,0.288
146.600,141,0.288
146.800,142,0.288
147.000,142,0.289
147.200,142,0.289
147.400,142,0.290
147.600,143,0.290
147.800,143,0.290
148.000,143,0.291
148.200,143,0.291
148.400,144,0.292
148.600,144,0.292
148.800,144,0.292
149.000,144,0.293
149.200,145,0.293
149.400,145,0.294
149.600,145,0.294
149.800,145,0.294
150.000,146,0.295
150.200,146,0.295
150.400,146,0.296
150.600,146,0.296
150.800,147,0.296
151.000,147,0.297
151.200,147,0.297
151.400,147,0.298
151.600,148,0.298
151.800,148,0.298
152.000,148,0.299
152.200,148,0.299
152.400,149,0.299
152.600,149,0.300
152.800,149,0.300
153.000,149,0.301
153.200,150,0.301
153.400,150,0.301
153.600,150,0.302
153.800,150,0.302
154.000,151,0.303
154.200,151,0.303
154.400,151,0.303
154.600,151,0.304
154.800,151,0.304
155.000,152,0.305
155.200,152,0.305
155.400,152,0.305
155.600,153,0.306
155.800,153,0.306
156.000,153,0.307
156.200,153,0.307
156.400,154,0.307
156.600,154,0.308
156.800,154,0.308
157.000,154,0.309
157.200,154,0.309
157.400,155,0.309
157.600,155,0.310
157.800,155,0.310
158.000,155,0.311
158.200,156,0.311
158.400,156,0.311
158.600,156,0.312
158.800,156,0.312
159.000,157,0.312
159.200,157,0.313
159.400,157,0.313
159.600,157,0.314
159.800,157,0.314
160.000,158,0.314
160.200,158,0.315
160.400,158,0.315
160.600,158,0.316
160.800,159,0.316
161.000,159,0.316
161.200,159,0.317
161.400,159,0.317
161.600,160,0.318
161.800,160,0.318
162.000,160,0.318
162.200,160,0.319
162.400,161,0.319
162.600,161,0.320
162.800,161,0.320
163.000,161,0.320
163.200,161,0.321
163.400,162,0.321
163.600,162,0.322
163.800,162,0.322
164.000,162,0.322
164.200,162,0.323
164.400,163,0.323
164.600,163,0.324
164.800,163,0.324
165.000,163,0.324
165.200,163,0.325
165.400,164,0.325
165.600,164,0.325
165.800,164,0.326
166.000,164,0.326
166.200,164,0.327
166.400,164,0.327
166.600,165,0.327
166.800,165,0.328
167.000,165,0.328
167.200,165,0.329
167.400,165,0.329
167.600,165,0.329
167.800,166,0.330
168.000,166,0.330
168.200,166,0.331
168.400,166,0.331
168.600,166,0.331
168.800,167,0.332
169.000,167,0.332
169.200,167,0.333
169.400,167,0.333
169.600,167,0.333
169.800,167,0.334
170.000,168,0.334
170.200,168,0.335
170.400,168,0.335
170.600,168,0.335
170.800,168,0.336
171.000,168,0.336
171.200,169,0.336
171.400,169,0.337
171.600,169,0.337
171.800,169,0.338
172.000,169,0.338
172.200,169,0.338
172.400,170,0.339
172.600,170,0.339
172.800,170,0.340
173.000,170,0.340
173.200,170,0.340
173.400,170,0.341
173.600,171,0.341
173.800,171,0.342
174.000,171,0.342
174.200,171,0.342
174.400,171,0.343
174.600,171,0.343
174.800,172,0.344
175.000,172,0.344
175.200,172,0.344
175.400,172,0.345
175.600,172,0.345
175.800,172,0.346
176.000,173,0.346
176.200,173,0.346
176.400,173,0.347
176.600,173,0.347
176.800,173,0.348
177.000,173,0.348
177.200,174,0.348
177.400,174,0.349
177.600,174,0.349
177.800,174,0.349
178.000,174,0.350
178.200,174,0.350
178.400,175,0.351
178.600,175,0.351
178.800,175,0.351
179.000,175,0.352
179.200,175,0.352
179.400,175,0.353
179.600,176,0.353
179.800,176,0.353
180.000,176,0.354
180.200,176,0.354
180.400,176,0.355
180.600,176,0.355
180.800,177,0.355
181.000,177,0.356
181.200,177,0.356
181.400,177,0.357
181.600,177,0.357
181.800,177,0.357
182.000,178,0.358
182.200,178,0.358
182.400,178,0.359
182.600,178,0.359
182.800,178,0.359
183.000,178,0.360
183.200,179,0.360
183.400,179,0.361
183.600,179,0.361
183.800,179,0.361
184.000,179,0.362
184.200,179,0.362
184.400,180,0.362
184.600,180,0.363
184.800,180,0.363
185.000,180,0.364
185.200,180,0.364
185.400,180,0.364
185.600,181,0.365
185.800,181,0.365
186.000,181,0.366
186.200,181,0.366
186.400,181,0.366
186.600,181,0.367
186.800,182,0.367
187.000,182,0.368
187.200,182,0.368
187.400,182,0.368
187.600,182,0.369
187.800,182,0.369
188.000,182,0.370
188.200,183,0.370
188.400,183,0.370
188.600,183,0.371
188.800,183,0.371
189.000,183,0.372
189.200,184,0.372
189.400,184,0.372
189.600,184,0.373
189.800,184,0.373
190.000,184,0.374
190.200,184,0.374
190.400,184,0.374
190.600,185,0.375
190.800,185,0.375
191.000,185,0.376
191.200,185,0.376
191.400,185,0.376
191.600,185,0.377
191.800,185,0.377
192.000,186,0.377
192.200,186,0.378
192.400,186,0.378
192.600,186,0.379
192.800,186,0.379
193.000,186,0.379
193.200,187,0.380
193.400,187,0.380
193.600,187,0.381
