""
"Test Method","Ankenman Simplified Tensile.msm"
"Sample I. D.","Ankenman brushes.mss"
"Specimen Number","9"

"Time (s)","Load (lbf)","Crosshead (in)"

0.400,24,0.000
0.600,26,0.001
0.800,27,0.001
1.000,29,0.001
1.200,31,0.002
1.400,32,0.002
1.600,34,0.003
1.800,35,0.003
2.000,36,0.003
2.200,37,0.004
2.400,38,0.004
2.600,39,0.005
2.800,40,0.005
3.000,40,0.005
3.200,41,0.006
3.400,42,0.006
3.600,42,0.007
3.800,43,0.007
4.000,43,0.007
4.200,44,0.008
4.400,44,0.008
4.600,45,0.009
4.800,45,0.009
5.000,46,0.009
5.200,46,0.010
5.400,46,0.010
5.600,47,0.010
5.800,47,0.011
6.000,47,0.011
6.200,48,0.012
6.400,48,0.012
6.600,48,0.012
6.800,49,0.013
7.000,49,0.013
7.200,49,0.014
7.400,49,0.014
7.600,49,0.014
7.800,50,0.015
8.000,50,0.015
8.200,50,0.016
8.400,50,0.016
8.600,50,0.016
8.800,51,0.017
9.000,51,0.017
9.200,51,0.018
9.400,51,0.018
9.600,51,0.018
9.800,51,0.019
10.000,52,0.019
10.200,52,0.020
10.400,52,0.020
10.600,52,0.020
10.800,52,0.021
11.000,53,0.021
11.200,53,0.022
11.400,53,0.022
11.600,53,0.022
11.800,53,0.023
12.000,54,0.023
12.200,54,0.024
12.400,54,0.024
12.600,54,0.024
12.800,54,0.025
13.000,54,0.025
13.200,54,0.025
13.400,55,0.026
13.600,55,0.026
13.800,55,0.027
14.000,55,0.027
14.200,55,0.027
14.400,56,0.028
14.600,56,0.028
14.800,56,0.029
15.000,56,0.029
15.200,56,0.029
15.400,56,0.030
15.600,56,0.030
15.800,56,0.031
16.000,57,0.031
16.200,57,0.031
16.400,57,0.032
16.600,57,0.032
16.800,57,0.033
17.000,57,0.033
17.200,58,0.033
17.400,58,0.034
17.600,58,0.034
17.800,58,0.035
18.000,58,0.035
18.200,59,0.035
18.400,59,0.036
18.600,59,0.036
18.800,59,0.036
19.000,59,0.037
19.200,59,0.037
19.400,59,0.038
19.600,60,0.038
19.800,60,0.038
20.000,60,0.039
20.200,60,0.039
20.400,60,0.040
20.600,60,0.040
20.800,61,0.040
21.000,61,0.041
21.200,61,0.041
21.400,61,0.042
21.600,61,0.042
21.800,61,0.042
22.000,62,0.043
22.200,62,0.043
22.400,62,0.044
22.600,62,0.044
22.800,62,0.044
23.000,62,0.045
23.200,62,0.045
23.400,63,0.046
23.600,63,0.046
23.800,63,0.046
24.000,63,0.047
24.200,63,0.047
24.400,63,0.047
24.600,63,0.048
24.800,64,0.048
25.000,64,0.049
25.200,64,0.049
25.400,64,0.049
25.600,64,0.050
25.800,65,0.050
26.000,65,0.051
26.200,65,0.051
26.400,65,0.051
26.600,65,0.052
26.800,65,0.052
27.000,66,0.053
27.200,66,0.053
27.400,66,0.053
27.600,66,0.054
27.800,66,0.054
28.000,66,0.055
28.200,66,0.055
28.400,67,0.055
28.600,67,0.056
28.800,67,0.056
29.000,67,0.057
29.200,67,0.057
29.400,67,0.057
29.600,67,0.058
29.800,68,0.058
30.000,68,0.059
30.200,68,0.059
30.400,68,0.059
30.600,68,0.060
30.800,68,0.060
31.000,68,0.060
31.200,69,0.061
31.400,69,0.061
31.600,69,0.062
31.800,69,0.062
32.000,69,0.062
32.200,69,0.063
32.400,70,0.063
32.600,70,0.064
32.800,70,0.064
33.000,70,0.064
33.200,70,0.065
33.400,70,0.065
33.600,71,0.066
33.800,71,0.066
34.000,71,0.066
34.200,71,0.067
34.400,71,0.067
34.600,71,0.068
34.800,71,0.068
35.000,71,0.068
35.200,72,0.069
35.400,72,0.069
35.600,72,0.070
35.800,72,0.070
36.000,72,0.070
36.200,72,0.071
36.400,73,0.071
36.600,73,0.072
36.800,73,0.072
37.000,73,0.072
37.200,73,0.073
37.400,73,0.073
37.600,74,0.073
37.800,74,0.074
38.000,74,0.074
38.200,74,0.075
38.400,74,0.075
38.600,74,0.075
38.800,74,0.076
39.000,74,0.076
39.200,74,0.077
39.400,75,0.077
39.600,75,0.077
39.800,75,0.078
40.000,75,0.078
40.200,75,0.079
40.400,76,0.079
40.600,76,0.079
40.800,76,0.080
41.000,76,0.080
41.200,76,0.081
41.400,76,0.081
41.600,76,0.081
41.800,77,0.082
42.000,76,0.082
42.200,77,0.083
42.400,77,0.083
42.600,77,0.083
42.800,77,0.084
43.000,77,0.084
43.200,78,0.084
43.400,77,0.085
43.600,78,0.085
43.800,78,0.086
44.000,78,0.086
44.200,78,0.086
44.400,78,0.087
44.600,78,0.087
44.800,78,0.088
45.000,78,0.088
45.200,79,0.088
45.400,79,0.089
45.600,79,0.089
45.800,79,0.090
46.000,80,0.090
46.200,79,0.090
46.400,79,0.091
46.600,79,0.091
46.800,80,0.092
47.000,80,0.092
47.200,80,0.092
47.400,80,0.093
47.600,81,0.093
47.800,80,0.094
48.000,81,0.094
48.200,81,0.094
48.400,81,0.095
48.600,81,0.095
48.800,81,0.096
49.000,82,0.096
49.200,81,0.096
49.400,82,0.097
49.600,82,0.097
49.800,82,0.097
50.000,82,0.098
50.200,82,0.098
50.400,82,0.099
50.600,83,0.099
50.800,82,0.099
51.000,82,0.100
51.200,82,0.100
51.400,83,0.101
51.600,83,0.101
51.800,83,0.101
52.000,83,0.102
52.200,84,0.102
52.400,83,0.103
52.600,83,0.103
52.800,84,0.103
53.000,84,0.104
53.200,84,0.104
53.400,84,0.105
53.600,85,0.105
53.800,84,0.105
54.000,85,0.106
54.200,85,0.106
54.400,85,0.106
54.600,85,0.107
54.800,85,0.107
55.000,85,0.108
55.200,86,0.108
55.400,85,0.108
55.600,86,0.109
55.800,86,0.109
56.000,86,0.110
56.200,86,0.110
56.400,86,0.110
56.600,87,0.111
56.800,87,0.111
57.000,87,0.112
57.200,87,0.112
57.400,87,0.112
57.600,87,0.113
57.800,87,0.113
58.000,87,0.114
58.200,88,0.114
58.400,88,0.114
58.600,88,0.115
58.800,88,0.115
59.000,88,0.116
59.200,88,0.116
59.400,89,0.116
59.600,88,0.117
59.800,89,0.117
60.000,89,0.118
60.200,89,0.118
60.400,89,0.118
60.600,89,0.119
60.800,89,0.119
61.000,89,0.120
61.200,90,0.120
61.400,89,0.120
61.600,90,0.121
61.800,90,0.121
62.000,90,0.121
62.200,91,0.122
62.400,91,0.122
62.600,91,0.123
62.800,91,0.123
63.000,91,0.123
63.200,91,0.124
63.400,91,0.124
63.600,91,0.125
63.800,91,0.125
64.000,91,0.125
64.200,92,0.126
64.400,92,0.126
64.600,92,0.127
64.800,92,0.127
65.000,92,0.127
65.200,92,0.128
65.400,92,0.128
65.600,92,0.129
65.800,93,0.129
66.000,93,0.129
66.200,93,0.130
66.400,93,0.130
66.600,93,0.131
66.800,93,0.131
67.000,94,0.131
67.200,94,0.132
67.400,93,0.132
67.600,94,0.133
67.800,94,0.133
68.000,94,0.133
68.200,94,0.134
68.400,95,0.134
68.600,95,0.134
68.800,95,0.135
69.000,95,0.135
69.200,95,0.136
69.400,95,0.136
69.600,95,0.136
69.800,95,0.137
70.000,95,0.137
70.200,96,0.138
70.400,96,0.138
70.600,96,0.138
70.800,96,0.139
71.000,96,0.139
71.200,96,0.140
71.400,96,0.140
71.600,97,0.140
71.800,97,0.141
72.000,97,0.141
72.200,97,0.142
72.400,97,0.142
72.600,97,0.142
72.800,98,0.143
73.000,98,0.143
73.200,98,0.144
73.400,98,0.144
73.600,98,0.144
73.800,98,0.145
74.000,98,0.145
74.200,98,0.146
74.400,98,0.146
74.600,99,0.146
74.800,99,0.147
75.000,99,0.147
75.200,99,0.147
75.400,99,0.148
75.600,99,0.148
75.800,100,0.149
76.000,100,0.149
76.200,100,0.149
76.400,100,0.150
76.600,100,0.150
76.800,100,0.151
77.000,100,0.151
77.200,100,0.151
77.400,101,0.152
77.600,101,0.152
77.800,101,0.153
78.000,101,0.153
78.200,101,0.153
78.400,101,0.154
78.600,101,0.154
78.800,102,0.155
79.000,102,0.155
79.200,102,0.155
79.400,102,0.156
79.600,102,0.156
79.800,102,0.157
80.000,102,0.157
80.200,103,0.157
80.400,103,0.158
80.600,103,0.158
80.800,103,0.159
81.000,103,0.159
81.200,103,0.159
81.400,104,0.160
81.600,104,0.160
81.800,104,0.160
82.000,104,0.161
82.200,104,0.161
82.400,105,0.162
82.600,105,0.162
82.800,105,0.162
83.000,105,0.163
83.200,106,0.163
83.400,106,0.164
83.600,106,0.164
83.800,106,0.164
84.000,106,0.165
84.200,107,0.165
84.400,107,0.166
84.600,107,0.166
84.800,107,0.166
85.000,108,0.167
85.200,108,0.167
85.400,108,0.168
85.600,108,0.168
85.800,109,0.168
86.000,109,0.169
86.200,109,0.169
86.400,109,0.170
86.600,110,0.170
86.800,110,0.170
87.000,110,0.171
87.200,111,0.171
87.400,111,0.172
87.600,111,0.172
87.800,111,0.172
88.000,111,0.173
88.200,112,0.173
88.400,112,0.173
88.600,112,0.174
88.800,112,0.174
89.000,113,0.175
89.200,113,0.175
89.400,113,0.175
89.600,114,0.176
89.800,114,0.176
90.000,114,0.177
90.200,114,0.177
90.400,115,0.177
90.600,115,0.178
90.800,115,0.178
91.000,115,0.179
91.200,116,0.179
91.400,116,0.179
91.600,116,0.180
91.800,116,0.180
92.000,117,0.181
92.200,117,0.181
92.400,117,0.181
92.600,117,0.182
92.800,118,0.182
93.000,118,0.183
93.200,118,0.183
93.400,119,0.183
93.600,119,0.184
93.800,119,0.184
94.000,119,0.185
94.200,120,0.185
94.400,120,0.185
94.600,120,0.186
94.800,121,0.186
95.000,121,0.186
95.200,121,0.187
95.400,121,0.187
95.600,122,0.188
95.800,122,0.188
96.000,122,0.188
96.200,122,0.189
96.400,123,0.189
96.600,123,0.190
96.800,123,0.190
97.000,123,0.190
97.200,124,0.191
97.400,124,0.191
97.600,124,0.192
97.800,124,0.192
98.000,125,0.192
98.200,125,0.193
98.400,126,0.193
98.600,126,0.194
98.800,126,0.194
99.000,126,0.194
99.200,127,0.195
99.400,127,0.195
99.600,127,0.196
99.800,127,0.196
100.000,128,0.196
100.200,128,0.197
100.400,128,0.197
100.600,128,0.198
100.800,129,0.198
101.000,129,0.198
101.200,129,0.199
101.400,130,0.199
101.600,130,0.199
101.800,130,0.200
102.000,130,0.200
102.200,131,0.201
102.400,131,0.201
102.600,131,0.201
102.800,132,0.202
103.000,132,0.202
103.200,132,0.203
103.400,132,0.203
103.600,133,0.203
103.800,133,0.204
104.000,133,0.204
104.200,134,0.205
104.400,134,0.205
104.600,134,0.205
104.800,134,0.206
105.000,135,0.206
105.200,135,0.207
105.400,135,0.207
105.600,135,0.207
105.800,136,0.208
106.000,136,0.208
106.200,136,0.209
106.400,137,0.209
106.600,137,0.209
106.800,137,0.210
107.000,137,0.210
107.200,138,0.210
107.400,138,0.211
107.600,138,0.211
107.800,139,0.212
108.000,139,0.212
108.200,139,0.212
108.400,139,0.213
108.600,140,0.213
108.800,140,0.214
109.000,140,0.214
109.200,140,0.214
109.400,141,0.215
109.600,141,0.215
109.800,141,0.216
110.000,142,0.216
110.200,142,0.216
110.400,142,0.217
110.600,142,0.217
110.800,143,0.218
111.000,143,0.218
111.200,143,0.218
111.400,144,0.219
111.600,144,0.219
111.800,144,0.220
112.000,144,0.220
112.200,145,0.220
112.400,145,0.221
112.600,145,0.221
112.800,145,0.222
113.000,146,0.222
113.200,146,0.222
113.400,146,0.223
113.600,146,0.223
113.800,147,0.223
114.000,147,0.224
114.200,147,0.224
114.400,148,0.225
114.600,148,0.225
114.800,148,0.225
115.000,148,0.226
115.200,149,0.226
115.400,149,0.227
115.600,149,0.227
115.800,149,0.227
116.000,150,0.228
116.200,150,0.228
116.400,151,0.229
116.600,151,0.229
116.800,151,0.229
117.000,151,0.230
117.200,152,0.230
117.400,152,0.231
117.600,152,0.231
117.800,152,0.231
118.000,153,0.232
118.200,153,0.232
118.400,153,0.233
118.600,153,0.233
118.800,154,0.233
119.000,154,0.234
119.200,154,0.234
119.400,155,0.235
119.600,155,0.235
119.800,155,0.235
120.000,155,0.236
120.200,156,0.236
120.400,156,0.236
120.600,156,0.237
120.800,156,0.237
121.000,157,0.238
121.200,157,0.238
121.400,157,0.238
121.600,158,0.239
121.800,158,0.239
122.000,158,0.240
122.200,158,0.240
122.400,159,0.240
122.600,159,0.241
122.800,159,0.241
123.000,160,0.242
123.200,160,0.242
123.400,160,0.242
123.600,160,0.243
123.800,161,0.243
124.000,161,0.244
124.200,161,0.244
124.400,162,0.244
124.600,162,0.245
124.800,162,0.245
125.000,162,0.246
125.200,162,0.246
125.400,163,0.246
125.600,163,0.247
125.800,163,0.247
126.000,164,0.248
126.200,164,0.248
126.400,164,0.248
126.600,164,0.249
126.800,165,0.249
127.000,165,0.249
127.200,165,0.250
127.400,166,0.250
127.600,166,0.251
127.800,166,0.251
128.000,166,0.251
128.200,167,0.252
128.400,167,0.252
128.600,167,0.253
128.800,167,0.253
129.000,168,0.253
129.200,168,0.254
129.400,168,0.254
129.600,168,0.255
129.800,168,0.255
130.000,169,0.255
130.200,169,0.256
130.400,169,0.256
130.600,170,0.257
130.800,170,0.257
131.000,170,0.257
131.200,170,0.258
131.400,171,0.258
131.600,171,0.259
131.800,171,0.259
132.000,172,0.259
132.200,172,0.260
132.400,172,0.260
132.600,172,0.260
132.800,173,0.261
133.000,173,0.261
133.200,173,0.262
133.400,173,0.262
133.600,174,0.262
133.800,174,0.263
134.000,174,0.263
134.200,174,0.264
134.400,175,0.264
134.600,175,0.264
134.800,175,0.265
135.000,175,0.265
135.200,176,0.266
135.400,176,0.266
135.600,176,0.266
135.800,176,0.267
136.000,177,0.267
136.200,177,0.268
136.400,177,0.268
136.600,178,0.268
136.800,178,0.269
137.000,178,0.269
137.200,178,0.270
137.400,179,0.270
137.600,179,0.270
137.800,179,0.271
138.000,179,0.271
138.200,180,0.271
138.400,180,0.272
138.600,180,0.272
138.800,180,0.273
139.000,181,0.273
139.200,181,0.273
139.400,181,0.274
139.600,181,0.274
139.800,182,0.275
140.000,182,0.275
140.200,182,0.275
140.400,182,0.276
140.600,183,0.276
140.800,183,0.277
141.000,183,0.277
141.200,184,0.277
141.400,184,0.278
141.600,184,0.278
141.800,184,0.279
142.000,185,0.279
142.200,185,0.279
142.400,185,0.280
142.600,185,0.280
142.800,186,0.281
143.000,186,0.281
143.200,186,0.281
143.400,186,0.282
143.600,187,0.282
143.800,187,0.283
144.000,187,0.283
144.200,187,0.283
144.400,188,0.284
144.600,188,0.284
144.800,188,0.284
145.000,189,0.285
145.200,189,0.285
145.400,189,0.286
145.600,189,0.286
145.800,189,0.286
146.000,190,0.287
146.200,190,0.287
146.400,190,0.288
146.600,190,0.288
146.800,191,0.288
147.000,191,0.289
147.200,191,0.289
147.400,191,0.290
147.600,192,0.290
147.800,192,0.290
148.000,192,0.291
148.200,192,0.291
148.400,193,0.292
148.600,193,0.292
148.800,193,0.292
149.000,193,0.293
149.200,194,0.293
149.400,194,0.294
149.600,194,0.294
149.800,194,0.294
150.000,195,0.295
150.200,195,0.295
150.400,195,0.295
150.600,195,0.296
150.800,196,0.296
151.000,196,0.297
151.200,196,0.297
151.400,196,0.297
151.600,197,0.298
151.800,197,0.298
152.000,197,0.299
152.200,197,0.299
152.400,197,0.299
152.600,198,0.300
152.800,198,0.300
153.000,198,0.301
153.200,198,0.301
153.400,199,0.301
153.600,199,0.302
153.800,199,0.302
154.000,199,0.303
154.200,200,0.303
154.400,200,0.303
154.600,200,0.304
154.800,200,0.304
155.000,201,0.305
155.200,201,0.305
155.400,201,0.305
155.600,201,0.306
155.800,202,0.306
