""
"Test Method","Ankenman Simplified Tensile.msm"
"Sample I. D.","Ankenman brushes.mss"
"Specimen Number","8"

"Time (s)","Load (lbf)","Crosshead (in)"

0.400,0,0.000
0.600,0,0.001
0.800,0,0.001
1.000,1,0.001
1.200,1,0.002
1.400,2,0.002
1.600,3,0.003
1.800,4,0.003
2.000,4,0.003
2.200,5,0.004
2.400,6,0.004
2.600,7,0.005
2.800,8,0.005
3.000,9,0.005
3.200,11,0.006
3.400,12,0.006
3.600,13,0.007
3.800,14,0.007
4.000,15,0.007
4.200,16,0.008
4.400,17,0.008
4.600,18,0.009
4.800,20,0.009
5.000,21,0.009
5.200,22,0.010
5.400,23,0.010
5.600,24,0.011
5.800,25,0.011
6.000,26,0.011
6.200,27,0.012
6.400,28,0.012
6.600,28,0.012
6.800,29,0.013
7.000,30,0.013
7.200,31,0.014
7.400,31,0.014
7.600,32,0.014
7.800,33,0.015
8.000,33,0.015
8.200,34,0.016
8.400,34,0.016
8.600,35,0.016
8.800,35,0.017
9.000,36,0.017
9.200,36,0.018
9.400,36,0.018
9.600,37,0.018
9.800,37,0.019
10.000,38,0.019
10.200,38,0.020
10.400,38,0.020
10.600,39,0.020
10.800,39,0.021
11.000,39,0.021
11.200,40,0.022
11.400,40,0.022
11.600,40,0.022
11.800,40,0.023
12.000,41,0.023
12.200,41,0.024
12.400,41,0.024
12.600,41,0.024
12.800,41,0.025
13.000,42,0.025
13.200,42,0.025
13.400,42,0.026
13.600,42,0.026
13.800,42,0.027
14.000,42,0.027
14.200,42,0.027
14.400,43,0.028
14.600,43,0.028
14.800,43,0.029
15.000,43,0.029
15.200,43,0.029
15.400,43,0.030
15.600,43,0.030
15.800,43,0.031
16.000,44,0.031
16.200,44,0.031
16.400,44,0.032
16.600,44,0.032
16.800,44,0.033
17.000,44,0.033
17.200,44,0.033
17.400,44,0.034
17.600,44,0.034
17.800,45,0.035
18.000,45,0.035
18.200,45,0.035
18.400,45,0.036
18.600,45,0.036
18.800,45,0.036
19.000,45,0.037
19.200,45,0.037
19.400,45,0.038
19.600,46,0.038
19.800,46,0.038
20.000,46,0.039
20.200,46,0.039
20.400,46,0.040
20.600,46,0.040
20.800,46,0.040
21.000,46,0.041
21.200,46,0.041
21.400,46,0.042
21.600,46,0.042
21.800,47,0.042
22.000,47,0.043
22.200,47,0.043
22.400,47,0.044
22.600,47,0.044
22.800,47,0.044
23.000,47,0.045
23.200,47,0.045
23.400,47,0.046
23.600,47,0.046
23.800,47,0.046
24.000,48,0.047
24.200,48,0.047
24.400,48,0.048
24.600,48,0.048
24.800,48,0.048
25.000,48,0.049
25.200,48,0.049
25.400,48,0.049
25.600,48,0.050
25.800,49,0.050
26.000,49,0.051
26.200,49,0.051
26.400,49,0.051
26.600,49,0.052
26.800,49,0.052
27.000,49,0.053
27.200,49,0.053
27.400,49,0.053
27.600,49,0.054
27.800,49,0.054
28.000,49,0.055
28.200,50,0.055
28.400,50,0.055
28.600,50,0.056
28.800,50,0.056
29.000,50,0.057
29.200,50,0.057
29.400,50,0.057
29.600,50,0.058
29.800,50,0.058
30.000,50,0.059
30.200,50,0.059
30.400,50,0.059
30.600,50,0.060
30.800,51,0.060
31.000,51,0.060
31.200,51,0.061
31.400,51,0.061
31.600,51,0.062
31.800,51,0.062
32.000,51,0.062
32.200,51,0.063
32.400,51,0.063
32.600,52,0.064
32.800,51,0.064
33.000,51,0.064
33.200,52,0.065
33.400,52,0.065
33.600,52,0.066
33.800,52,0.066
34.000,52,0.066
34.200,52,0.067
34.400,52,0.067
34.600,52,0.068
34.800,52,0.068
35.000,52,0.068
35.200,53,0.069
35.400,53,0.069
35.600,53,0.070
35.800,53,0.070
36.000,53,0.070
36.200,53,0.071
36.400,53,0.071
36.600,53,0.072
36.800,53,0.072
37.000,53,0.072
37.200,53,0.073
37.400,53,0.073
37.600,54,0.073
37.800,54,0.074
38.000,54,0.074
38.200,54,0.075
38.400,54,0.075
38.600,54,0.075
38.800,54,0.076
39.000,54,0.076
39.200,54,0.077
39.400,54,0.077
39.600,54,0.077
39.800,55,0.078
40.000,55,0.078
40.200,55,0.079
40.400,55,0.079
40.600,55,0.079
40.800,55,0.080
41.000,55,0.080
41.200,55,0.081
41.400,55,0.081
41.600,55,0.081
41.800,56,0.082
42.000,56,0.082
42.200,56,0.083
42.400,56,0.083
42.600,56,0.083
42.800,56,0.084
43.000,56,0.084
43.200,56,0.084
43.400,56,0.085
43.600,56,0.085
43.800,56,0.086
44.000,56,0.086
44.200,57,0.086
44.400,57,0.087
44.600,57,0.087
44.800,57,0.088
45.000,57,0.088
45.200,57,0.088
45.400,57,0.089
45.600,57,0.089
45.800,57,0.090
46.000,58,0.090
46.200,58,0.090
46.400,58,0.091
46.600,58,0.091
46.800,58,0.092
47.000,58,0.092
47.200,58,0.092
47.400,58,0.093
47.600,58,0.093
47.800,58,0.094
48.000,58,0.094
48.200,59,0.094
48.400,59,0.095
48.600,59,0.095
48.800,59,0.096
49.000,59,0.096
49.200,59,0.096
49.400,59,0.097
49.600,59,0.097
49.800,59,0.097
50.000,59,0.098
50.200,59,0.098
50.400,60,0.099
50.600,60,0.099
50.800,60,0.099
51.000,60,0.100
51.200,60,0.100
51.400,60,0.101
51.600,60,0.101
51.800,60,0.101
52.000,60,0.102
52.200,60,0.102
52.400,61,0.103
52.600,61,0.103
52.800,61,0.103
53.000,61,0.104
53.200,61,0.104
53.400,61,0.105
53.600,61,0.105
53.800,61,0.105
54.000,61,0.106
54.200,62,0.106
54.400,62,0.107
54.600,62,0.107
54.800,62,0.107
55.000,62,0.108
55.200,62,0.108
55.400,62,0.108
55.600,62,0.109
55.800,62,0.109
56.000,62,0.110
56.200,62,0.110
56.400,63,0.110
56.600,63,0.111
56.800,63,0.111
57.000,63,0.112
57.200,63,0.112
57.400,63,0.112
57.600,63,0.113
57.800,63,0.113
58.000,63,0.114
58.200,63,0.114
58.400,64,0.114
58.600,64,0.115
58.800,64,0.115
59.000,64,0.116
59.200,64,0.116
59.400,64,0.116
59.600,64,0.117
59.800,65,0.117
60.000,65,0.118
60.200,65,0.118
60.400,65,0.118
60.600,65,0.119
60.800,65,0.119
61.000,66,0.120
61.200,66,0.120
61.400,66,0.120
61.600,66,0.121
61.800,66,0.121
62.000,67,0.121
62.200,67,0.122
62.400,67,0.122
62.600,67,0.123
62.800,67,0.123
63.000,67,0.123
63.200,68,0.124
63.400,68,0.124
63.600,68,0.125
63.800,68,0.125
64.000,68,0.125
64.200,69,0.126
64.400,69,0.126
64.600,69,0.127
64.800,69,0.127
65.000,70,0.127
65.200,69,0.128
65.400,70,0.128
65.600,70,0.129
65.800,70,0.129
66.000,70,0.129
66.200,70,0.130
66.400,71,0.130
66.600,71,0.131
66.800,71,0.131
67.000,71,0.131
67.200,71,0.132
67.400,72,0.132
67.600,72,0.133
67.800,72,0.133
68.000,72,0.133
68.200,73,0.134
68.400,73,0.134
68.600,73,0.134
68.800,73,0.135
69.000,73,0.135
69.200,74,0.136
69.400,74,0.136
69.600,74,0.136
69.800,74,0.137
70.000,74,0.137
70.200,74,0.138
70.400,75,0.138
70.600,75,0.138
70.800,75,0.139
71.000,75,0.139
71.200,75,0.140
71.400,76,0.140
71.600,76,0.140
71.800,76,0.141
72.000,77,0.141
72.200,76,0.142
72.400,77,0.142
72.600,77,0.142
72.800,77,0.143
73.000,77,0.143
73.200,78,0.144
73.400,78,0.144
73.600,78,0.144
73.800,78,0.145
74.000,79,0.145
74.200,79,0.146
74.400,79,0.146
74.600,79,0.146
74.800,79,0.147
75.000,80,0.147
75.200,80,0.147
75.400,80,0.148
75.600,80,0.148
75.800,80,0.149
76.000,81,0.149
76.200,80,0.149
76.400,81,0.150
76.600,81,0.150
76.800,81,0.151
77.000,82,0.151
77.200,82,0.151
77.400,82,0.152
77.600,82,0.152
77.800,82,0.153
78.000,83,0.153
78.200,82,0.153
78.400,83,0.154
78.600,83,0.154
78.800,83,0.155
79.000,83,0.155
79.200,84,0.155
79.400,84,0.156
79.600,84,0.156
79.800,85,0.157
80.000,84,0.157
80.200,85,0.157
80.400,85,0.158
80.600,85,0.158
80.800,85,0.159
81.000,86,0.159
81.200,86,0.159
81.400,86,0.160
81.600,86,0.160
81.800,86,0.160
82.000,86,0.161
82.200,87,0.161
82.400,87,0.162
82.600,88,0.162
82.800,88,0.162
83.000,88,0.163
83.200,88,0.163
83.400,88,0.164
83.600,89,0.164
83.800,88,0.164
84.000,89,0.165
84.200,89,0.165
84.400,89,0.166
84.600,89,0.166
84.800,90,0.166
85.000,90,0.167
85.200,90,0.167
85.400,90,0.168
85.600,91,0.168
85.800,91,0.168
86.000,91,0.169
86.200,91,0.169
86.400,91,0.170
86.600,92,0.170
86.800,92,0.170
87.000,92,0.171
87.200,93,0.171
87.400,93,0.172
87.600,93,0.172
87.800,93,0.172
88.000,93,0.173
88.200,93,0.173
88.400,94,0.173
88.600,94,0.174
88.800,94,0.174
89.000,95,0.175
89.200,95,0.175
89.400,95,0.175
89.600,95,0.176
89.800,96,0.176
90.000,95,0.177
90.200,96,0.177
90.400,96,0.177
90.600,96,0.178
90.800,96,0.178
91.000,97,0.179
91.200,97,0.179
91.400,97,0.179
91.600,97,0.180
91.800,97,0.180
92.000,98,0.181
92.200,98,0.181
92.400,98,0.181
92.600,98,0.182
92.800,98,0.182
93.000,99,0.183
93.200,99,0.183
93.400,99,0.183
93.600,99,0.184
93.800,100,0.184
94.000,100,0.185
94.200,100,0.185
94.400,100,0.185
94.600,101,0.186
94.800,101,0.186
95.000,101,0.186
95.200,101,0.187
95.400,101,0.187
95.600,101,0.188
95.800,102,0.188
96.000,102,0.188
96.200,102,0.189
96.400,102,0.189
96.600,103,0.190
96.800,103,0.190
97.000,103,0.190
97.200,103,0.191
97.400,103,0.191
97.600,104,0.192
97.800,104,0.192
98.000,104,0.192
98.200,104,0.193
98.400,104,0.193
98.600,105,0.194
98.800,105,0.194
99.000,105,0.194
99.200,105,0.195
99.400,106,0.195
99.600,106,0.196
99.800,106,0.196
100.000,106,0.196
100.200,107,0.197
100.400,107,0.197
100.600,107,0.198
100.800,107,0.198
101.000,107,0.198
101.200,108,0.199
101.400,108,0.199
101.600,108,0.199
101.800,108,0.200
102.000,109,0.200
102.200,109,0.201
102.400,109,0.201
102.600,109,0.201
102.800,109,0.202
103.000,110,0.202
103.200,110,0.203
103.400,110,0.203
103.600,110,0.203
103.800,111,0.204
104.000,111,0.204
104.200,111,0.205
104.400,111,0.205
104.600,112,0.205
104.800,112,0.206
105.000,112,0.206
105.200,112,0.207
105.400,112,0.207
105.600,113,0.207
105.800,113,0.208
106.000,113,0.208
106.200,113,0.209
106.400,114,0.209
106.600,114,0.209
106.800,114,0.210
107.000,114,0.210
107.200,115,0.210
107.400,115,0.211
107.600,115,0.211
107.800,115,0.212
108.000,116,0.212
108.200,116,0.212
108.400,116,0.213
108.600,116,0.213
108.800,117,0.214
109.000,117,0.214
109.200,117,0.214
109.400,117,0.215
109.600,118,0.215
109.800,118,0.216
110.000,118,0.216
110.200,118,0.216
110.400,119,0.217
110.600,119,0.217
110.800,119,0.218
111.000,119,0.218
111.200,120,0.218
111.400,120,0.219
111.600,120,0.219
111.800,120,0.220
112.000,121,0.220
112.200,121,0.220
112.400,121,0.221
112.600,121,0.221
112.800,122,0.222
113.000,122,0.222
113.200,122,0.222
113.400,122,0.223
113.600,122,0.223
113.800,123,0.223
114.000,123,0.224
114.200,123,0.224
114.400,124,0.225
114.600,124,0.225
114.800,124,0.225
115.000,124,0.226
115.200,125,0.226
115.400,125,0.227
115.600,125,0.227
115.800,125,0.227
116.000,126,0.228
116.200,126,0.228
116.400,126,0.229
116.600,126,0.229
116.800,126,0.229
117.000,127,0.230
117.200,127,0.230
117.400,127,0.231
117.600,127,0.231
117.800,128,0.231
118.000,128,0.232
118.200,128,0.232
118.400,128,0.233
118.600,129,0.233
118.800,129,0.233
119.000,129,0.234
119.200,129,0.234
119.400,130,0.235
119.600,130,0.235
119.800,130,0.235
120.000,130,0.236
120.200,130,0.236
120.400,131,0.236
120.600,131,0.237
120.800,131,0.237
121.000,131,0.238
121.200,132,0.238
121.400,132,0.238
121.600,132,0.239
121.800,132,0.239
122.000,133,0.240
122.200,133,0.240
122.400,133,0.240
122.600,133,0.241
122.800,134,0.241
123.000,134,0.242
123.200,134,0.242
123.400,134,0.242
123.600,135,0.243
123.800,135,0.243
124.000,135,0.244
124.200,135,0.244
124.400,135,0.244
124.600,136,0.245
124.800,136,0.245
125.000,136,0.246
125.200,136,0.246
125.400,137,0.246
125.600,137,0.247
125.800,137,0.247
126.000,137,0.248
126.200,138,0.248
126.400,138,0.248
126.600,138,0.249
126.800,138,0.249
127.000,139,0.249
127.200,139,0.250
127.400,139,0.250
127.600,139,0.251
127.800,139,0.251
128.000,140,0.251
128.200,140,0.252
128.400,140,0.252
128.600,140,0.253
128.800,141,0.253
129.000,141,0.253
129.200,141,0.254
129.400,141,0.254
129.600,142,0.255
129.800,142,0.255
130.000,142,0.255
130.200,142,0.256
130.400,143,0.256
130.600,143,0.257
130.800,143,0.257
131.000,143,0.257
131.200,143,0.258
131.400,144,0.258
131.600,144,0.259
131.800,144,0.259
132.000,144,0.259
132.200,145,0.260
132.400,145,0.260
132.600,145,0.260
132.800,145,0.261
133.000,145,0.261
133.200,146,0.262
133.400,146,0.262
133.600,146,0.262
133.800,146,0.263
134.000,147,0.263
134.200,147,0.264
134.400,147,0.264
134.600,147,0.264
134.800,147,0.265
135.000,148,0.265
135.200,148,0.266
135.400,148,0.266
135.600,148,0.266
135.800,149,0.267
136.000,149,0.267
136.200,149,0.268
136.400,149,0.268
136.600,149,0.268
136.800,150,0.269
137.000,150,0.269
137.200,150,0.270
137.400,150,0.270
137.600,151,0.270
137.800,151,0.271
138.000,151,0.271
138.200,152,0.271
138.400,152,0.272
138.600,152,0.272
138.800,152,0.273
139.000,152,0.273
139.200,152,0.273
139.400,153,0.274
139.600,153,0.274
139.800,153,0.275
140.000,153,0.275
140.200,154,0.275
140.400,154,0.276
140.600,154,0.276
140.800,154,0.277
141.000,154,0.277
141.200,155,0.277
141.400,155,0.278
141.600,155,0.278
141.800,155,0.279
142.000,156,0.279
142.200,156,0.279
142.400,156,0.280
142.600,156,0.280
142.800,157,0.281
143.000,157,0.281
143.200,157,0.281
143.400,157,0.282
143.600,157,0.282
143.800,157,0.283
144.000,158,0.283
144.200,158,0.283
144.400,158,0.284
144.600,158,0.284
144.800,159,0.284
145.000,159,0.285
145.200,159,0.285
145.400,159,0.286
145.600,160,0.286
145.800,160,0.286
146.000,160,0.287
146.200,160,0.287
146.400,160,0.288
146.600,160,0.288
146.800,161,0.288
147.000,161,0.289
147.200,161,0.289
147.400,161,0.290
147.600,161,0.290
147.800,162,0.290
148.000,162,0.291
148.200,162,0.291
148.400,162,0.292
148.600,162,0.292
148.800,162,0.292
149.000,163,0.293
149.200,163,0.293
149.400,163,0.294
149.600,163,0.294
149.800,163,0.294
150.000,164,0.295
150.200,164,0.295
150.400,164,0.295
150.600,164,0.296
150.800,164,0.296
151.000,165,0.297
151.200,165,0.297
151.400,165,0.297
151.600,165,0.298
151.800,165,0.298
152.000,165,0.299
152.200,166,0.299
152.400,166,0.299
152.600,166,0.300
152.800,166,0.300
153.000,166,0.301
153.200,167,0.301
153.400,167,0.301
153.600,167,0.302
153.800,167,0.302
154.000,167,0.303
154.200,167,0.303
154.400,168,0.303
154.600,168,0.304
154.800,168,0.304
155.000,168,0.305
155.200,168,0.305
155.400,169,0.305
155.600,169,0.306
155.800,169,0.306
156.000,169,0.307
156.200,169,0.307
156.400,170,0.307
156.600,170,0.308
156.800,170,0.308
157.000,170,0.309
157.200,170,0.309
157.400,170,0.309
157.600,170,0.310
157.800,171,0.310
158.000,171,0.310
158.200,171,0.311
158.400,171,0.311
158.600,171,0.312
158.800,171,0.312
159.000,171,0.312
159.200,170,0.313
159.400,170,0.313
159.600,170,0.314
159.800,170,0.314
160.000,170,0.314
160.200,170,0.315
160.400,170,0.315
160.600,170,0.316
160.800,170,0.316
161.000,171,0.316
161.200,171,0.317
161.400,171,0.317
161.600,171,0.318
161.800,171,0.318
162.000,172,0.318
162.200,172,0.319
162.400,172,0.319
162.600,172,0.320
162.800,172,0.320
163.000,172,0.320
163.200,173,0.321
163.400,173,0.321
163.600,173,0.321
163.800,173,0.322
164.000,173,0.322
164.200,174,0.323
164.400,174,0.323
164.600,174,0.323
164.800,174,0.324
165.000,175,0.324
165.200,175,0.325
165.400,175,0.325
165.600,175,0.325
165.800,175,0.326
166.000,176,0.326
166.200,176,0.327
166.400,176,0.327
166.600,176,0.327
166.800,176,0.328
167.000,177,0.328
167.200,177,0.329
167.400,177,0.329
167.600,177,0.329
167.800,177,0.330
168.000,177,0.330
168.200,178,0.331
168.400,178,0.331
168.600,178,0.331
168.800,178,0.332
169.000,178,0.332
169.200,178,0.333
169.400,179,0.333
169.600,179,0.333
169.800,179,0.334
170.000,179,0.334
170.200,179,0.334
170.400,180,0.335
170.600,180,0.335
170.800,180,0.336
171.000,180,0.336
171.200,180,0.336
171.400,180,0.337
171.600,181,0.337
171.800,181,0.338
172.000,181,0.338
172.200,181,0.338
172.400,181,0.339
172.600,182,0.339
172.800,182,0.340
173.000,182,0.340
173.200,182,0.340
173.400,182,0.341
173.600,183,0.341
173.800,183,0.342
174.000,183,0.342
174.200,183,0.342
174.400,183,0.343
174.600,183,0.343
174.800,184,0.344
175.000,184,0.344
175.200,184,0.344
175.400,184,0.345
175.600,185,0.345
175.800,185,0.346
176.000,185,0.346
176.200,185,0.346
176.400,185,0.347
176.600,185,0.347
176.800,185,0.348
177.000,186,0.348
177.200,186,0.348
177.400,186,0.349
177.600,186,0.349
177.800,186,0.349
178.000,187,0.350
178.200,187,0.350
178.400,187,0.351
178.600,187,0.351
178.800,187,0.351
179.000,187,0.352
179.200,188,0.352
179.400,188,0.353
179.600,188,0.353
179.800,188,0.353
180.000,188,0.354
180.200,188,0.354
180.400,188,0.355
180.600,189,0.355
180.800,189,0.355
181.000,189,0.356
181.200,189,0.356
181.400,189,0.357
181.600,189,0.357
181.800,190,0.357
182.000,190,0.358
182.200,190,0.358
182.400,190,0.359
182.600,190,0.359
182.800,190,0.359
183.000,190,0.360
183.200,191,0.360
183.400,191,0.360
183.600,191,0.361
183.800,191,0.361
184.000,191,0.362
184.200,191,0.362
184.400,192,0.362
184.600,192,0.363
184.800,192,0.363
185.000,192,0.364
185.200,192,0.364
185.400,192,0.364
185.600,192,0.365
185.800,192,0.365
186.000,193,0.366
186.200,193,0.366
186.400,193,0.366
186.600,193,0.367
186.800,193,0.367
187.000,193,0.368
187.200,194,0.368
187.400,194,0.368
187.600,193,0.369
187.800,194,0.369
188.000,194,0.370
188.200,194,0.370
188.400,194,0.370
188.600,194,0.371
188.800,194,0.371
189.000,195,0.372
189.200,195,0.372
189.400,195,0.372
189.600,195,0.373
189.800,195,0.373
190.000,195,0.373
190.200,195,0.374
190.400,196,0.374
190.600,196,0.375
190.800,196,0.375
191.000,196,0.375
191.200,196,0.376
191.400,196,0.376
191.600,196,0.377
191.800,196,0.377
192.000,197,0.377
192.200,197,0.378
192.400,197,0.378
192.600,197,0.379
192.800,197,0.379
193.000,197,0.379
193.200,197,0.380
193.400,197,0.380
193.600,198,0.381
