Total Water (in)
0.046
0.003
0.025
0.018
0.061
0.089
0.277
0.295
0.333
0.581
0.049
0.536
0.536
0.253
0.111
0.335
0.026
0.234
0.296
0.005
0.040
0.288
0.013
0.010
0.044
0.011
0.268
0.063
0.009
0.001
0.007
0.003
0.000
0.024
0.334
0.146
0.158
0.194
0.186
0.013
0.096
0.006
0.005
0.089
0.214
0.005
0.004
0.134
0.074
0.110
0.282
0.187
0.169
0.037
0.003
0.003
0.245
0.047
0.215
0.086
0.147
0.101
0.419
0.180
0.174
0.069
0.027
0.044
0.170
0.085
0.049
0.689
0.134
0.028
0.011
0.001
0.000
0.001
0.137
0.103
0.008
0.023
0.083
0.235
0.008
0.012
0.001
0.000
0.001
0.044
0.342
0.158
0.306
0.119
0.011
0.111
0.618
0.090
0.316
0.482
0.494
0.057
0.008
0.036
0.003
0.091
0.291
0.197
0.093
0.054
0.300
0.019
0.269
0.201
0.031
0.001
0.000
0.000
0.000
0.000
0.007
0.023
0.002
0.028
0.319
0.444
0.058
0.022
0.019
0.000
0.000
0.000
0.000
0.000
0.004
0.035
0.002
0.000
0.000
0.006
0.008
0.107
0.010
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.001
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.070
0.333
0.076
0.000
0.002
0.008
0.001
0.010
0.171
0.090
0.210
0.238
0.110
0.004
0.002
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.000
0.000
0.000
0.005
0.001
0.000
0.000
0.000
0.000
0.000
0.022
0.155
0.004
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.002
0.013
0.043
0.005
0.013
0.027
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.001
0.000
0.000
0.002
0.096
0.012
0.002
0.011
0.000
0.001
0.072
0.258
0.035
0.029
0.001
0.014
0.071
0.006
0.000
0.000
0.000
0.000
0.000
0.000
0.005
0.038
0.000
0.000
0.000
0.000
0.075
0.013
0.346
0.027
0.000
0.021
0.190
0.832
0.659
0.657
0.542
0.141
0.031
0.000
0.052
0.312
0.007
0.001
0.001
0.007
0.000
0.007
0.145
0.597
0.177
0.014
0.174
0.050
0.148
0.428
0.069
0.005
0.018
0.007
0.026
0.009
0.071
0.743
0.067
0.001
0.001
0.001
0.000
0.000
0.029
0.893
0.191
0.839
0.481
0.380
0.541
0.064
0.020
0.192
0.499
0.126
0.369
0.035
0.009
0.002
0.001
0.013
0.357
0.064
0.013
0.246
0.003
0.001
0.001
0.001
0.001
0.001
0.002
0.020
0.451
0.805
0.168
0.302
2.383
1.057
0.521
0.337
0.118
0.773
0.076
0.006
0.003
0.130
0.030
0.003
0.002
0.010
0.165
0.149
0.012
0.243
0.415
0.017
0.102
0.697
0.059
0.239
0.060
0.057
0.109
0.004
0.030
0.214
0.177
0.129
0.658
0.175
0.244
0.759
0.107
0.044
0.034
0.000
0.000
0.000
0.010
0.314
0.313
0.396
0.038
0.468
0.696
0.283
0.233
0.333
0.095
0.573
0.937
0.058
0.019
0.287
0.181
0.041
0.010
0.004
0.009
0.230
0.024
0.012
0.117
0.018
0.123
0.368
0.065
0.011
0.407
0.090
0.010
0.007
0.020
0.125
0.184
0.268
0.004
0.006
0.068
0.139
0.079
0.329
1.240
0.258
0.158
0.149
0.152
0.073
0.006
0.001
0.001
0.011
0.201
0.254
0.415
0.136
0.003
0.000
0.000
0.000
0.001
0.000
0.002
0.074
0.080
0.239
0.149
0.035
0.175
0.277
0.451
0.130
0.005
0.000
0.001
0.009
0.311
0.032
0.082
0.031
0.093
0.055
0.205
0.051
0.004
0.015
0.000
0.000
0.007
0.104
0.032
0.001
0.000
0.003
0.020
0.014
0.000
0.007
0.173
0.442
0.088
0.121
0.304
0.116
0.026
0.001
0.002
0.036
0.182
0.191
0.269
0.006
0.000
0.000
0.000
0.000
0.001
0.000
0.000
0.015
0.049
0.027
0.248
0.007
0.097
0.648
0.010
0.012
0.121
0.108
0.052
0.020
0.141
0.204
0.004
0.016
0.091
0.888
0.149
0.094
0.000
0.000
0.000
0.000
0.004
0.002
0.003
0.000
0.003
0.182
0.249
0.058
0.055
0.000
0.000
0.000
0.000
0.012
0.012
0.001
0.004
0.133
0.134
0.004
0.062
0.013
0.005
