Name,Attempt,Hand,Mass [g],Underground,x [cm],y [cm],Leaves the grid
Xinqi,9,Left,2.5,Plastic,-0.7,0.5,
Xinqi,10,Left,2.5,Plastic,2,-5.3,
Xinqi,1,Both,2.5,Plastic,7.3,-1.3,
Xinqi,2,Both,2.5,Plastic,11.6,-5.5,Yes
Xinqi,3,Both,2.5,Plastic,8.6,-4.4,
Xinqi,4,Both,2.5,Plastic,1.3,-1.4,
Xinqi,5,Both,2.5,Plastic,-2.4,-4.4,
Xinqi,6,Both,2.5,Plastic,0.2,-4.7,
Xinqi,7,Both,2.5,Plastic,-0.1,-0.7,
Xinqi,8,Both,2.5,Plastic,1.5,-3.9,
Xinqi,9,Both,2.5,Plastic,3.1,-0.9,
Xinqi,10,Both,2.5,Plastic,1.1,1.5,
